number,name,status
PEP 269,Pgen Module for Python,Deferred
PEP 267,Optimized Access to Module Namespaces,Deferred
PEP 233,Python Online Help,Deferred
PEP 219,Stackless Python,Deferred
PEP 3099,Things that will Not Change in Python 3000,Final
PEP 3100,Miscellaneous Python 3.0 Plans,Final
PEP 213,Attribute Access Handlers,Deferred
PEP 423,Naming conventions and recipes related to packaging,Deferred
PEP 222,Web Library Enhancements,Deferred
PEP 3002,Procedure for Backwards-Incompatible Changes,Final
PEP 8001,Python Governance Voting Process,Final
PEP 3003,Python Language Moratorium,Final
PEP 3000,Python 3000,Final
PEP 581,Using GitHub Issues for CPython,Final
PEP 537,Python 3.7 Release Schedule,Final
PEP 541,Package Index Name Retention,Final
PEP 478,Python 3.5 Release Schedule,Final
PEP 494,Python 3.6 Release Schedule,Final
PEP 545,Python Documentation Translations,Final
PEP 464,Removal of the PyPI Mirror Authenticity API,Final
PEP 470,Removing External Hosting Support on PyPI,Final
PEP 449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
PEP 429,Python 3.4 Release Schedule,Final
PEP 404,Python 2.8 Un-release Schedule,Final
PEP 398,Python 3.3 Release Schedule,Final
PEP 392,Python 3.2 Release Schedule,Final
PEP 512,Migrating from hg.python.org to GitHub,Final
PEP 375,Python 3.1 Release Schedule,Final
PEP 373,Python 2.7 Release Schedule,Final
PEP 438,Transitioning to release-file hosting on PyPI,Superseded
PEP 385,Migrating from Subversion to Mercurial,Final
PEP 361,Python 2.6 and 3.0 Release Schedule,Final
PEP 360,Externally Maintained Packages,Final
PEP 356,Python 2.5 Release Schedule,Final
PEP 251,Python 2.2 Release Schedule,Final
PEP 226,Python 2.1 Release Schedule,Final
PEP 320,Python 2.4 Release Schedule,Final
PEP 283,Python 2.3 Release Schedule,Final
PEP 374,Choosing a distributed VCS for the Python project,Final
PEP 347,Migrating the Python CVS to Subversion,Final
PEP 200,Python 2.0 Release Schedule,Final
PEP 160,Python 1.6 Release Schedule,Final
PEP 5,Guidelines for Language Evolution,Superseded
PEP 3154,Pickle protocol version 4,Final
PEP 3155,Qualified name for classes and functions,Final
PEP 3149,ABI version tagged .so files,Final
PEP 6,Bug Fix Releases,Superseded
PEP 3148,futures - execute computations asynchronously,Final
PEP 3144,IP Address Manipulation Library for the Python Standard Library,Final
PEP 3138,String representation in Python 3000,Final
PEP 3141,A Type Hierarchy for Numbers,Final
PEP 3151,Reworking the OS and IO exception hierarchy,Final
PEP 3147,PYC Repository Directories,Final
PEP 3137,Immutable Bytes and Mutable Buffer,Final
PEP 3135,New Super,Final
PEP 3132,Extended Iterable Unpacking,Final
PEP 3134,Exception Chaining and Embedded Tracebacks,Final
PEP 3129,Class Decorators,Final
PEP 3131,Supporting Non-ASCII Identifiers,Final
PEP 3123,Making PyObject_HEAD conform to standard C,Final
PEP 3121,Extension Module Initialization and Finalization,Final
PEP 3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
PEP 3120,Using UTF-8 as the default source encoding,Final
PEP 3127,Integer Literal Support and Syntax,Final
PEP 3114,Renaming iterator.next() to iterator.__next__(),Final
PEP 3115,Metaclasses in Python 3000,Final
PEP 3119,Introducing Abstract Base Classes,Final
PEP 3116,New I/O,Final
PEP 3113,Removal of Tuple Parameter Unpacking,Final
PEP 3111,Simple input built-in in Python 3000,Final
PEP 3118,Revising the buffer protocol,Final
PEP 3112,Bytes literals in Python 3000,Final
PEP 3110,Catching Exceptions in Python 3000,Final
PEP 3109,Raising Exceptions in Python 3000,Final
PEP 3105,Make print a function,Final
PEP 3107,Function Annotations,Final
PEP 3106,"Revamping dict.keys(), .values() and .items()",Final
PEP 3108,Standard Library Reorganization,Final
PEP 3102,Keyword-Only Arguments,Final
PEP 3104,Access to Names in Outer Scopes,Final
PEP 715,Disabling bdist_egg distribution uploads on PyPI,Final
PEP 721,Using tarfile.data_filter for source distribution extraction,Final
PEP 3101,Advanced String Formatting,Final
PEP 737,C API to format a type fully qualified name,Final
PEP 730,Adding iOS as a supported platform,Final
PEP 700,Additional Fields for the Simple API for Package Indexes,Final
PEP 723,Inline script metadata,Final
PEP 709,Inlined comprehensions,Final
PEP 706,Filter for tarfile.extractall,Final
PEP 692,Using TypedDict for more precise **kwargs typing,Final
PEP 697,Limited C API for Extending Opaque Types,Final
PEP 689,Unstable C API tier,Final
PEP 698,Override Decorator for Static Typing,Final
PEP 688,Making the buffer protocol accessible in Python,Final
PEP 682,Format Specifier for Signed Zero,Final
PEP 695,Type Parameter Syntax,Final
PEP 681,Data Class Transforms,Final
PEP 680,tomllib: Support for Parsing TOML in the Standard Library,Final
PEP 683,"Immortal Objects, Using a Fixed Refcount",Final
PEP 684,A Per-Interpreter GIL,Final
PEP 660,Editable installs for pyproject.toml based builds (wheel based),Final
PEP 673,Self Type,Final
PEP 669,Low Impact Monitoring for CPython,Final
PEP 670,Convert macros to functions in the Python C API,Final
PEP 657,Include Fine Grained Error Locations in Tracebacks,Final
PEP 675,Arbitrary Literal String Type,Final
PEP 655,Marking individual TypedDict items as required or potentially-missing,Final
PEP 656,Platform Tag for Linux Distributions Using Musl,Final
PEP 652,Maintaining the Stable ABI,Final
PEP 647,User-Defined Type Guards,Final
PEP 644,Require OpenSSL 1.1.1 or newer,Final
PEP 643,Metadata for Package Source Distributions,Final
PEP 678,Enriching Exceptions with Notes,Final
PEP 628,Add ,Final
PEP 629,Versioning PyPI’s Simple API,Final
PEP 627,Recording installed projects,Final
PEP 626,Precise line numbers for debugging and other tools.,Final
PEP 632,Deprecate distutils module,Final
PEP 654,Exception Groups and except*,Final
PEP 634,Structural Pattern Matching: Specification,Final
PEP 623,Remove wstr from Unicode,Final
PEP 624,Remove Py_UNICODE encoder APIs,Final
PEP 618,Add Optional Length-Checking To zip,Final
PEP 614,Relaxing Grammar Restrictions On Decorators,Final
PEP 621,Storing project metadata in pyproject.toml,Final
PEP 613,Explicit Type Aliases,Final
PEP 616,String methods to remove prefixes and suffixes,Final
PEP 617,New PEG parser for CPython,Final
PEP 615,Support for the IANA Time Zone Database in the Standard Library,Final
PEP 604,Allow writing union types as ,Final
PEP 610,Recording the Direct URL Origin of installed distributions,Final
PEP 600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Final
PEP 597,Add optional EncodingWarning,Final
PEP 592,Adding “Yank” Support to the Simple API,Final
PEP 612,Parameter Specification Variables,Final
PEP 593,Flexible function and variable annotations,Final
PEP 591,Adding a final qualifier to typing,Final
PEP 589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Final
PEP 585,Type Hinting Generics In Standard Collections,Final
PEP 587,Python Initialization Configuration,Final
PEP 594,Removing dead batteries from the standard library,Final
PEP 574,Pickle protocol 5 with out-of-band data,Final
PEP 578,Python Runtime Audit Hooks,Final
PEP 573,Module State Access from C Extension Methods,Final
PEP 586,Literal Types,Final
PEP 566,Metadata for Python Software Packages 2.1,Final
PEP 565,Show DeprecationWarning in __main__,Final
PEP 572,Assignment Expressions,Final
PEP 584,Add Union Operators To dict,Final
PEP 570,Python Positional-Only Parameters,Final
PEP 567,Context Variables,Final
PEP 564,Add new time functions with nanosecond resolution,Final
PEP 561,Distributing and Packaging Type Information,Final
PEP 560,Core support for typing module and generic types,Final
PEP 557,Data Classes,Final
PEP 553,Built-in breakpoint(),Final
PEP 552,Deterministic pycs,Final
PEP 539,A New C-API for Thread-Local Storage in CPython,Final
PEP 528,Change Windows console encoding to UTF-8,Final
PEP 527,Removing Un(der)used file types/extensions on PyPI,Final
PEP 544,Protocols: Structural subtyping (static duck typing),Final
PEP 562,Module __getattr__ and __dir__,Final
PEP 529,Change Windows filesystem encoding to UTF-8,Final
PEP 538,Coercing the legacy C locale to a UTF-8 based locale,Final
PEP 530,Asynchronous Comprehensions,Final
PEP 526,Syntax for Variable Annotations,Final
PEP 540,Add a new UTF-8 Mode,Final
PEP 525,Asynchronous Generators,Final
PEP 524,Make os.urandom() blocking on Linux,Final
PEP 520,Preserving Class Attribute Definition Order,Final
PEP 523,Adding a frame evaluation API to CPython,Final
PEP 519,Adding a file system path protocol,Final
PEP 518,Specifying Minimum Build System Requirements for Python Projects,Final
PEP 515,Underscores in Numeric Literals,Final
PEP 508,Dependency specification for Python Software Packages,Final
PEP 503,Simple Repository API,Final
PEP 506,Adding A Secrets Module To The Standard Library,Final
PEP 517,A build-system independent format for source trees,Final
PEP 495,Local Time Disambiguation,Final
PEP 493,HTTPS verification migration tools for Python 2.7,Final
PEP 486,Make the Python Launcher aware of virtual environments,Final
PEP 489,Multi-phase extension module initialization,Final
PEP 488,Elimination of PYO files,Final
PEP 487,Simpler customisation of class creation,Final
PEP 477,Backport ensurepip (PEP 453) to Python 2.7,Final
PEP 476,Enabling certificate verification by default for stdlib http clients,Final
PEP 492,Coroutines with async and await syntax,Final
PEP 475,Retry system calls failing with EINTR,Final
PEP 485,A Function for testing approximate equality,Final
PEP 498,Literal String Interpolation,Final
PEP 479,Change StopIteration handling inside generators,Final
PEP 461,Adding % formatting to bytes and bytearray,Final
PEP 468,Preserving the order of **kwargs in a function.,Final
PEP 454,Add a new tracemalloc module to trace Python memory allocations,Final
PEP 471,os.scandir() function – a better and faster directory iterator,Final
PEP 466,Network Security Enhancements for Python 2.7.x,Final
PEP 465,A dedicated infix operator for matrix multiplication,Final
PEP 456,Secure and interchangeable hash algorithm,Final
PEP 450,Adding A Statistics Module To The Standard Library,Final
PEP 448,Additional Unpacking Generalizations,Final
PEP 453,Explicit bootstrapping of pip in Python installations,Final
PEP 484,Type Hints,Final
PEP 451,A ModuleSpec Type for the Import System,Final
PEP 446,Make newly created file descriptors non-inheritable,Final
PEP 445,Add new APIs to customize Python memory allocators,Final
PEP 442,Safe object finalization,Final
PEP 443,Single-dispatch generic functions,Final
PEP 441,Improving Python ZIP Application Support,Final
PEP 435,Adding an Enum type to the Python standard library,Final
PEP 427,The Wheel Binary Package Format 1.0,Final
PEP 428,The pathlib module – object-oriented filesystem paths,Final
PEP 424,A method for exposing a length hint,Final
PEP 425,Compatibility Tags for Built Distributions,Final
PEP 436,The Argument Clinic DSL,Final
PEP 417,Including mock in the Standard Library,Final
PEP 440,Version Identification and Dependency Specification,Final
PEP 415,Implement context suppression with exception attributes,Final
PEP 412,Key-Sharing Dictionary,Final
PEP 420,Implicit Namespace Packages,Final
PEP 414,Explicit Unicode Literal for Python 3.3,Final
PEP 409,Suppressing exception context,Final
PEP 418,"Add monotonic time, performance counter, and process time functions",Final
PEP 389,argparse - New Command Line Parsing Module,Final
PEP 405,Python Virtual Environments,Final
PEP 391,Dictionary-Based Configuration For Logging,Final
PEP 393,Flexible String Representation,Final
PEP 397,Python launcher for Windows,Final
PEP 421,Adding sys.implementation,Final
PEP 384,Defining a Stable ABI,Final
PEP 383,Non-decodable Bytes in System Character Interfaces,Final
PEP 380,Syntax for Delegating to a Subgenerator,Final
PEP 378,Format Specifier for Thousands Separator,Final
PEP 372,Adding an ordered dictionary to collections,Final
PEP 376,Database of Installed Python Distributions,Final
PEP 366,Main module explicit relative imports,Final
PEP 370,Per user site-packages directory,Final
PEP 371,Addition of the multiprocessing package to the standard library,Final
PEP 362,Function Signature Object,Final
PEP 358,The “bytes” Object,Final
PEP 353,Using ssize_t as the index type,Final
PEP 357,Allowing Any Object to be Used for Slicing,Final
PEP 352,Required Superclass for Exceptions,Final
PEP 341,Unifying try-except and try-finally,Final
PEP 328,Imports: Multi-Line and Absolute/Relative,Final
PEP 331,Locale-Independent Float/String Conversions,Final
PEP 338,Executing modules as scripts,Final
PEP 343,The “with” Statement,Final
PEP 322,Reverse Iteration,Final
PEP 324,subprocess - New process module,Final
PEP 342,Coroutines via Enhanced Generators,Final
PEP 311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
PEP 309,Partial Function Application,Final
PEP 308,Conditional Expressions,Final
PEP 318,Decorators for Functions and Methods,Final
PEP 305,CSV File API,Final
PEP 301,Package Index and Metadata for Distutils,Final
PEP 285,Adding a bool type,Final
PEP 289,Generator Expressions,Final
PEP 282,A Logging System,Final
PEP 307,Extensions to the pickle protocol,Final
PEP 279,The enumerate() built-in function,Final
PEP 327,Decimal Data Type,Final
PEP 302,New Import Hooks,Final
PEP 274,Dict Comprehensions,Final
PEP 273,Import Modules from Zip Archives,Final
PEP 278,Universal Newline Support,Final
PEP 277,Unicode file name support for Windows NT,Final
PEP 264,Future statements in simulated shells,Final
PEP 293,Codec Error Handling Callbacks,Final
PEP 292,Simpler String Substitutions,Final
PEP 260,Simplify xrange(),Final
PEP 261,Support for “wide” Unicode characters,Final
PEP 237,Unifying Long Integers and Integers,Final
PEP 263,Defining Python Source Code Encodings,Final
PEP 255,Simple Generators,Final
PEP 250,Using site-packages on Windows,Final
PEP 238,Changing the Division Operator,Final
PEP 253,Subtyping Built-in Types,Final
PEP 235,Import on Case-Insensitive Platforms,Final
PEP 236,Back to the __future__,Final
PEP 252,Making Types Look More Like Classes,Final
PEP 229,Using Distutils to Build Python,Final
PEP 230,Warning Framework,Final
PEP 223,Change the Meaning of ,Final
PEP 232,Function Attributes,Final
PEP 227,Statically Nested Scopes,Final
PEP 221,Import As,Final
PEP 234,Iterators,Final
PEP 217,Display Hook for Interactive Use,Final
PEP 208,Reworking the Coercion Model,Final
PEP 214,Extended Print Statement,Final
PEP 218,Adding a Built-In Set Object Type,Final
PEP 203,Augmented Assignments,Final
PEP 201,Lockstep Iteration,Final
PEP 202,List Comprehensions,Final
PEP 205,Weak References,Final
PEP 2026,Calendar versioning for Python,Draft
PEP 100,Python Unicode Integration,Final
PEP 746,Type checking Annotated metadata,Draft
PEP 743,Add Py_COMPAT_API_VERSION to the Python C API,Draft
PEP 749,Implementing PEP 649,Draft
PEP 747,TypeExpr: Type Hint for a Type Expression,Draft
PEP 744,JIT Compilation,Draft
PEP 739,Static description file for build details of Python installations,Draft
PEP 207,Rich Comparisons,Final
PEP 789,Preventing task-cancellation bugs by limiting yield in async generators,Draft
PEP 741,Python Configuration C API,Draft
PEP 733,An Evaluation of Python’s Public C API,Draft
PEP 736,Shorthand syntax for keyword arguments at invocation,Draft
PEP 740,Index support for digital attestations,Draft
PEP 735,Dependency Groups in pyproject.toml,Draft
PEP 728,TypedDict with Typed Extra Items,Draft
PEP 718,Subscriptable functions,Draft
PEP 727,Documentation in Annotated Metadata,Draft
PEP 679,Allow parentheses in assert statements,Draft
PEP 720,Cross-compiling Python packages,Draft
PEP 694,Upload 2.0 API for Python Package Repositories,Draft
PEP 711,PyBI: a standard format for distributing Python Binaries,Draft
PEP 671,Syntax for late-bound function argument defaults,Draft
PEP 710,Recording the provenance of installed packages,Draft
PEP 659,Specializing Adaptive Interpreter,Draft
PEP 661,Sentinel Values,Draft
PEP 603,Adding a frozenmap type to collections,Draft
PEP 639,Improving License Clarity with Better Package Metadata,Draft
PEP 653,Precise Semantics for Pattern Matching,Draft
PEP 588,GitHub Issues Migration Plan,Draft
PEP 725,Specifying external dependencies in pyproject.toml,Draft
PEP 638,Syntactic Macros,Draft
PEP 480,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
PEP 738,Adding Android as a supported platform,Accepted
PEP 467,Minor API improvements for binary sequences,Draft
PEP 714,Rename dist-info-metadata in the Simple API,Accepted
PEP 742,Narrowing types with TypeIs,Accepted
PEP 699,Remove private dict version field added in PEP 509,Accepted
PEP 701,Syntactic formalization of f-strings,Accepted
